candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
phase1_b20_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,-1.0,-0.2824858757062147,-9.867,-29.80966767371601,0.9967000000000041,True,353.0,354.0,23.233,33.1,94.1467,93.14999999999999,20260613-221502_candidate_phase1_b20_learning_trial1_destc_7595a54b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221502_candidate_phase1_b20_learning_trial1_destc_7595a54b
phase1_b20_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,-11.0,-3.1073446327683616,-7.450000000000003,-22.50755287009064,0.855000000000004,True,343.0,354.0,25.65,33.1,94.005,93.14999999999999,20260613-221516_candidate_phase1_b20_learning_trial2_destc_a4eada02,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221516_candidate_phase1_b20_learning_trial2_destc_a4eada02
phase1_b20_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,0.0,0.0,-9.5,-28.700906344410875,0.9500000000000028,True,354.0,354.0,23.6,33.1,94.1,93.14999999999999,20260613-221531_candidate_phase1_b20_learning_trial3_destc_01ca6a43,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221531_candidate_phase1_b20_learning_trial3_destc_01ca6a43
phase1_b20_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,-1.0,-0.009325748391308402,-0.6170000000000044,-1.3756967670011246,0.07170000000000343,True,10722.0,10723.0,44.233,44.85,-17.081300000000002,-17.153000000000006,20260613-221545_candidate_phase1_b20_learning_trial1_DMAtc_f056a3af,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221545_candidate_phase1_b20_learning_trial1_DMAtc_f056a3af
phase1_b20_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,0.0,0.0,-1.233000000000004,-2.7491638795986715,0.12330000000000041,True,10723.0,10723.0,43.617,44.85,-17.029700000000005,-17.153000000000006,20260613-221612_candidate_phase1_b20_learning_trial2_DMAtc_a0ea37e3,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221612_candidate_phase1_b20_learning_trial2_DMAtc_a0ea37e3
phase1_b20_learning,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,0.0,0.0,-2.1670000000000016,-4.831661092530661,0.21669999999999945,True,10723.0,10723.0,42.683,44.85,-16.936300000000006,-17.153000000000006,20260613-221638_candidate_phase1_b20_learning_trial3_DMAtc_a3a9173d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221638_candidate_phase1_b20_learning_trial3_DMAtc_a3a9173d
reverse_phase2_b10,pcitc.bench,1,True,False,False,99.826,99.826,0.0,78.0,1.3122476446837146,-5.584,-32.81424457895046,-0.22159999999999513,False,6022.0,5944.0,11.433,17.017,38.4627,38.68429999999999,20260613-221704_candidate_reverse_phase2_b10_trial1_pcitc_c653e39e,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221704_candidate_reverse_phase2_b10_trial1_pcitc_c653e39e
reverse_phase2_b10,pcitc.bench,2,True,False,False,99.826,99.826,0.0,78.0,1.3122476446837146,-5.216999999999999,-30.657577716401242,-0.2582999999999984,False,6022.0,5944.0,11.8,17.017,38.425999999999995,38.68429999999999,20260613-221711_candidate_reverse_phase2_b10_trial2_pcitc_9034e567,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221711_candidate_reverse_phase2_b10_trial2_pcitc_9034e567
reverse_phase2_b10,pcitc.bench,3,True,False,False,99.826,99.826,0.0,78.0,1.3122476446837146,-5.334,-31.345125462772522,-0.24660000000000082,False,6022.0,5944.0,11.683,17.017,38.43769999999999,38.68429999999999,20260613-221718_candidate_reverse_phase2_b10_trial3_pcitc_7be9dce5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221718_candidate_reverse_phase2_b10_trial3_pcitc_7be9dce5
reverse_phase2_b10,destc.bench,1,True,False,False,100.0,100.0,0.0,66.0,18.64406779661017,-20.900000000000002,-63.14199395770393,1.4300000000000068,True,420.0,354.0,12.2,33.1,94.58,93.14999999999999,20260613-221725_candidate_reverse_phase2_b10_trial1_destc_b394d6c7,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221725_candidate_reverse_phase2_b10_trial1_destc_b394d6c7
reverse_phase2_b10,destc.bench,2,True,False,False,100.0,100.0,0.0,66.0,18.64406779661017,-21.55,-65.10574018126889,1.4950000000000045,True,420.0,354.0,11.55,33.1,94.645,93.14999999999999,20260613-221733_candidate_reverse_phase2_b10_trial2_destc_03f12921,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221733_candidate_reverse_phase2_b10_trial2_destc_03f12921
reverse_phase2_b10,destc.bench,3,True,False,False,100.0,100.0,0.0,66.0,18.64406779661017,-20.6,-62.2356495468278,1.4000000000000057,True,420.0,354.0,12.5,33.1,94.55,93.14999999999999,20260613-221740_candidate_reverse_phase2_b10_trial3_destc_2a9fc6e1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221740_candidate_reverse_phase2_b10_trial3_destc_2a9fc6e1
reverse_phase2_b10,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,234.0,2.182225123566166,-4.899999999999999,-10.925306577480487,-1.850000000000005,False,10957.0,10723.0,39.95,44.85,-19.00300000000001,-17.153000000000006,20260613-221747_candidate_reverse_phase2_b10_trial1_DMAtc_dc31fd17,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221747_candidate_reverse_phase2_b10_trial1_DMAtc_dc31fd17
reverse_phase2_b10,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,234.0,2.182225123566166,-4.582999999999998,-10.218506131549605,-1.8817000000000057,False,10957.0,10723.0,40.267,44.85,-19.03470000000001,-17.153000000000006,20260613-221812_candidate_reverse_phase2_b10_trial2_DMAtc_54f06922,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221812_candidate_reverse_phase2_b10_trial2_DMAtc_54f06922
reverse_phase2_b10,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,234.0,2.182225123566166,-4.899999999999999,-10.925306577480487,-1.850000000000005,False,10957.0,10723.0,39.95,44.85,-19.00300000000001,-17.153000000000006,20260613-221836_candidate_reverse_phase2_b10_trial3_DMAtc_1cce3732,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221836_candidate_reverse_phase2_b10_trial3_DMAtc_1cce3732
